股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
航天动力,600343,46.4,9,2026-01-22,92.8,100.0,5,2026-01-12
航天机电,600151,20.72,10,2026-01-23,41.44,100.0,6,2026-01-12
越秀资本,987,10.13,10,2026-01-23,20.26,100.0,5,2026-01-12
顺灏股份,2565,22.3,10,2026-01-23,41.32,85.29147982062779,2,2026-01-15
航天发展,547,37.78,7,2026-01-20,62.42,65.21969295923769,1,2026-01-13
银河电子,2519,10.43,8,2026-01-21,17.21,65.00479386385427,2,2026-01-12
北斗星通,2151,60.82,9,2026-01-22,97.31,59.99671160802369,3,2026-01-12
西部材料,2149,50.58,10,2026-01-23,80.55,59.2526690391459,1,2026-01-20
再升科技,603601,13.51,10,2026-01-23,21.2234,57.09400444115471,2,2026-01-22
金风科技,2202,31.94,7,2026-01-20,47.36,48.278021289918584,2,2026-01-12
中国卫星,600118,106.05,10,2026-01-23,153.28,44.53559641678455,1,2026-01-12
雷科防务,2413,18.3,7,2026-01-20,26.44,44.480874316939904,1,2026-01-13
航天电子,600879,28.69,10,2026-01-23,41.42,44.37086092715232,1,2026-01-12
中国卫通,601698,48.98,10,2026-01-23,70.28,43.48713760718661,1,2026-01-13
通宇通讯,2792,60.78,7,2026-01-20,87.15,43.38598223099706,2,2026-01-12
华菱线缆,1208,29.0,10,2026-01-23,41.41,42.79310344827585,2,2026-01-12
鲁信创投,600783,32.59,5,2026-01-16,45.05,38.23258668303158,3,2026-01-12
神剑股份,2361,15.6,10,2026-01-23,20.31,30.192307692307697,2,2026-01-12
